,skill,cluster
13264,battery chemistry,17
13265,tend cigar stamp machine,6
13266,tend swaging machine,6
13267,cut rubberized fabrics,11
13268,brush rubber cement,11
13269,repackage medical equipment after sterilisation,9
13270,install lift governor,6
13271,battery formation,17
13272,perform failure analysis of production process,6
13273,teach religious texts,3
13274,prepare stage weapons,23
13275,supervise betting shop staff,5
13276,work with mistelle bases,9
13277,building construction principles,7
13278,conduct laboratory chemical research on metals,24
13279,monitor vehicle fleet operations,14
13280,advise on machinery malfunctions,6
13281,handle metal work orders,9
13282,analyse quality of nurse care,12
13283,consult technical resources,19
13284,hydrology,1
13285,dangers of marshalling activity,0
13286,maintain plant health,10
13287,handle game complaints,5
13288,polymer chemistry,11
13289,types of audiovisual formats,23
13290,install transport equipment lighting,16
13291,commercial clothing glossary,16
13292,implement operational business plans,4
13293,interpret extraction data,8
13294,nanotechnology,24
13295,plastic surgery,12
13296,strain paper on mould,21
13297,tend counterblow machine,6
13298,perform educational testing,8
13299,empathise with the healthcare user,12
13300,set up fish harvesting equipment,8
13301,understand spoken Irish,18
13302,interpret automatic call distribution data,0
13303,cope with manufacturing deadlines pressure,3
13304,implement strategic planning,19
13305,military aviation,14
13306,animal anatomy for food production,0
13307,adjust manufacturing equipment,22
13308,attend to sophrology clients,12
13309,management consulting,3
13310,prepare pieces for joining,23
13311,adapt training to labour market,3
13312,perform stem cell transplantation,12
13313,software components suppliers,6
13314,operate road marking machine,0
13315,research market prices for antiques,16
13316,attach clock cases,6
13317,use methods of logistical data analysis,14
13318,create manufacturing guidelines,3
13319,determine characteristics of mineral deposits,24
13320,sell products,16
13321,store stage weapons,23
13322,brief volunteers,1
13323,organise harvests,8
13324,unload cargo,14
13325,cast metal,24
13326,manufacture metal additive manufacturing parts,9
13327,conform to cosmetics regulatory requirements,16
13328,cut house wrap,11
13329,types of wallpaper,7
13330,mentor individual employees,1
13331,estimate value of clocks,6
13332,maintain stage weapons,23
13333,use filters to dewater starch,9
13334,meet deadlines,3
13335,manage capture broodstock operations,0
13336,serve on academic committee,5
13337,provide a psychotherapeutic environment,12
13338,food science,15
13339,design plans to address undesirable behaviour in animals,0
13340,consult iconographic sources,2
13341,theatre techniques,23
13342,sell building materials,7
13343,analyse data for aeronautical publications,14
13344,remove computer virus or malware from a computer,1
13345,adjust video transmissions,7
13346,install concrete pumps,6
13347,create new movements,18
13348,model groundwater,1
13349,engage with rail stakeholders,14
13350,operate echo sounding equipment,23
13351,operate imagesetter,7
13352,introduce artist to potential employers,7
13353,collect dead fish,3
13354,manage legal personal issues,14
13355,prepare board for soldering,9
13356,tend plodder machines,6
13357,consult with motion picture producer,7
13358,guide cranes,6
13359,investigate social security applications,5
13360,examine meters in connections,6
13361,sustainable agricultural production principles,10
13362,study media sources,5
13363,apply airport lighting maintenance procedures,14
13364,prepare cost-plus pricing models,19
13365,be at ease in unsafe environments,0
13366,contribute to protecting individuals from harm,0
13367,animal evolution,8
13368,grow plants,10
13369,build garden masonry,7
13370,perform water treatment procedures,1
13371,work in a forestry team,6
13372,advise customers on food and drinks pairing,16
13373,motivate others,13
13374,provide psychological support to patients,12
13375,microeconomics,19
13376,specialist nursing care,12
13377,calculate dividends,19
13378,advise on licencing procedures,3
13379,manage production systems,6
13380,execute chilling processes to food products,21
13381,transfer designs,2
13382,communicate in an outdoor setting,1
13383,types of media,5
13384,track shipments,14
13385,publish academic research,13
13386,select fruits and vegetables,22
13387,operate surface grinder,9
13388,validate raw materials,24
13389,secure cargo on ships,14
13390,provide livestock advice and guidance,10
13391,coordinate airport environmental policies,14
13392,instruct on animal care,0
13393,maintain motor vehicle steering system,14
13394,write dock records,19
13395,breed pigs,0
13396,tend surface grinding machine,6
13397,sustainable installation materials,10
13398,design puppets,23
13399,demonstrate disciplinary expertise,3
13400,perform transcranial magnetic stimulation,12
13401,perform rail track inspections,14
13402,transport blood samples,4
13403,carry out feeding operations,10
13404,organise facilities for office personnel,19
13405,advise on offshore renewable energies subjects,19
13406,cast cell covers,9
13407,lean project management,13
13408,consider weather conditions in flight decisions ,21
13409,transfer medication,4
13410,assign duties to agriculture workers,10
13411,types of maritime vessels,3
13412,find new types of food and beverages,15
13413,humanitarian aid,1
13414,install transport vehicle interior components,14
13415,select glassware for serving,11
13416,perform water testing procedures,1
13417,inspect wood materials,24
13418,translate requirement concepts into content,3
13419,examine the conditions of buildings,7
13420,fertilisation principles,10
13421,manage gambling finances,5
13422,tend metal planer,6
13423,exercise stewardship,0
13424,scale etchings,11
13425,types of essential oils,3
13426,synthetic biology,5
13427,manage scale-up experiments for manufacturing of products,3
13428,adjust cochlear implants,23
13429,food authentication techniques,15
13430,install lockable devices,2
13431,understand spoken Catalan,18
13432,oral surgery,12
13433,ensure proper document management,8
13434,fisheries legislation,3
13435,maintain projection equipment,7
13436,select vocalists,23
13437,operate crusher,24
13438,manufacture prosthetic-orthotic devices,6
13439,supervise educational staff,1
13440,operate hatchery recirculation system,13
13441,carry out calculations in hospitality,19
13442,internet governance,13
13443,constitutional law,20
13444,apply extensive study of wine types,22
13445,clear the bar at closing time,11
13446,monitor assessment,8
13447,interview animal owners on animals' conditions,0
13448,real estate market,4
13449,public auction procedures,16
13450,perform toxicological studies,10
13451,provide genetic counselling,8
13452,perform diving interventions,1
13453,mount photographic film in processing machine,7
13454,synthetic fertilisers,10
13455,create cadastral maps,2
13456,follow the news,13
13457,install radiators,21
13458,teach transport technology principles,14
13459,provide fitness customer care,0
13460,quantum technology,7
13461,advise on healthy lifestyles,15
13462,use equipment for hair care,3
13463,evidence-based radiography practice,20
13464,paint sets,5
13465,serve food in table service,1
13466,apply requirements concerning manufacturing of food and beverages,15
13467,advise on patents,14
13468,design floral decorations,3
13469,coordinate care of neglected animals,0
13470,calibrate optical instruments,6
13471,prevent damage in a furnace,21
13472,manage waste rock,10
13473,establish contact with potential donors,1
13474,write captions,18
13475,sterilization techniques,9
13476,execute fertilisation,10
13477,maintain equipment,1
13478,university procedures,3
13479,supervise event staff,19
13480,apply nursing care in long-term care,12
13481,promote sport activities in public health,0
13482,diagnostic methods in medical laboratory,4
13483,follow up complaint reports,8
13484,multimedia systems,5
